x"0000", x"0064", x"00C9", x"012D", x"0192", x"01F6", x"025B", x"02BF"
x"0064", x"00C9", x"012D", x"0192", x"01F6", x"025B", x"02BF", x"0324"
x"00C9", x"012D", x"0192", x"01F6", x"025B", x"02BF", x"0324", x"0388"
x"012D", x"0192", x"01F6", x"025B", x"02BF", x"0324", x"0388", x"03ED"
x"0192", x"01F6", x"025B", x"02BF", x"0324", x"0388", x"03ED", x"0451"
x"01F6", x"025B", x"02BF", x"0324", x"0388", x"03ED", x"0451", x"04B6"
x"025B", x"02BF", x"0324", x"0388", x"03ED", x"0451", x"04B6", x"051A"
x"02BF", x"0324", x"0388", x"03ED", x"0451", x"04B6", x"051A", x"057E"
x"0324", x"0388", x"03ED", x"0451", x"04B6", x"051A", x"057E", x"05E3"
x"0388", x"03ED", x"0451", x"04B6", x"051A", x"057E", x"05E3", x"0647"
x"03ED", x"0451", x"04B6", x"051A", x"057E", x"05E3", x"0647", x"06AC"
x"0451", x"04B6", x"051A", x"057E", x"05E3", x"0647", x"06AC", x"0710"
x"04B6", x"051A", x"057E", x"05E3", x"0647", x"06AC", x"0710", x"0774"
x"051A", x"057E", x"05E3", x"0647", x"06AC", x"0710", x"0774", x"07D9"
x"057E", x"05E3", x"0647", x"06AC", x"0710", x"0774", x"07D9", x"083D"
x"05E3", x"0647", x"06AC", x"0710", x"0774", x"07D9", x"083D", x"08A1"
x"0647", x"06AC", x"0710", x"0774", x"07D9", x"083D", x"08A1", x"0906"
x"06AC", x"0710", x"0774", x"07D9", x"083D", x"08A1", x"0906", x"096A"
x"0710", x"0774", x"07D9", x"083D", x"08A1", x"0906", x"096A", x"09CE"
x"0774", x"07D9", x"083D", x"08A1", x"0906", x"096A", x"09CE", x"0A32"
x"07D9", x"083D", x"08A1", x"0906", x"096A", x"09CE", x"0A32", x"0A97"
x"083D", x"08A1", x"0906", x"096A", x"09CE", x"0A32", x"0A97", x"0AFB"
x"08A1", x"0906", x"096A", x"09CE", x"0A32", x"0A97", x"0AFB", x"0B5F"
x"0906", x"096A", x"09CE", x"0A32", x"0A97", x"0AFB", x"0B5F", x"0BC3"
x"096A", x"09CE", x"0A32", x"0A97", x"0AFB", x"0B5F", x"0BC3", x"0C27"
x"09CE", x"0A32", x"0A97", x"0AFB", x"0B5F", x"0BC3", x"0C27", x"0C8B"
x"0A32", x"0A97", x"0AFB", x"0B5F", x"0BC3", x"0C27", x"0C8B", x"0CEF"
x"0A97", x"0AFB", x"0B5F", x"0BC3", x"0C27", x"0C8B", x"0CEF", x"0D53"
x"0AFB", x"0B5F", x"0BC3", x"0C27", x"0C8B", x"0CEF", x"0D53", x"0DB7"
